routenummer,bezoekdatum,soort,wetenschappelijke naam,sectie,aantal
2097,28-04-15 14:30,NVT,,0,0
2097,07-05-15 16:20,NVT,,0,0
2097,11-05-15 13:00,NVT,,0,0
2097,22-05-15 13:55,NVT,,0,0
2097,26-05-15 16:15,NVT,,0,0
2097,04-06-15 15:05,NVT,,0,0
2097,05-06-15 10:00,NVT,,0,0
2097,12-06-15 14:00,NVT,,0,0
2097,25-06-15 14:05,NVT,,0,0
2097,29-06-15 16:00,groot koolwitje,Pieris brassicae,7,1
2097,06-07-15 16:00,NVT,,0,0
2097,21-07-15 13:30,NVT,,0,0
2097,29-07-15 15:00,NVT,,0,0
2097,06-08-15 16:15,groot koolwitje,Pieris brassicae,1,1
2097,06-08-15 16:15,groot koolwitje,Pieris brassicae,2,1
2097,06-08-15 16:15,klein geaderd witje,Pieris napi,6,1
2097,10-08-15 14:00,groot koolwitje,Pieris brassicae,3,2
2097,10-08-15 14:00,groot koolwitje,Pieris brassicae,8,1
2097,20-08-15 16:40,groot koolwitje,Pieris brassicae,1,1
2097,20-08-15 16:40,groot koolwitje,Pieris brassicae,2,1
2097,29-08-15 14:30,groot koolwitje,Pieris brassicae,6,1
2097,09-09-15 13:00,NVT,,0,0
2097,20-09-15 15:44,NVT,,0,0
2097,28-09-15 15:00,NVT,,0,0
2097,02-04-17 14:36,NVT,,0,0
2097,04-04-17 15:00,NVT,,0,0
2097,20-04-17 15:00,dagpauwoog,Aglais io,1,1
2097,29-04-17 14:30,NVT,,0,0
2097,06-05-17 11:00,NVT,,0,0
2097,11-05-17 12:00,NVT,,0,0
2097,11-05-17 13:00,NVT,,0,0
2097,16-05-17 15:30,NVT,,0,0
2097,22-05-17 14:45,NVT,,0,0
2097,31-05-17 15:00,NVT,,0,0
2097,05-06-17 11:15,NVT,,0,0
2097,11-06-17 11:30,NVT,,0,0
2097,17-06-17 14:10,kleine vos,Aglais urticae,2,1
2097,19-06-17 15:50,atalanta,Vanessa atalanta,4,1
2097,19-06-17 15:50,atalanta,Vanessa atalanta,6,1
2097,25-06-17 13:40,NVT,,0,0
2097,26-06-17 14:05,groot koolwitje,Pieris brassicae,4,1
2097,26-06-17 14:05,groot koolwitje,Pieris brassicae,6,1
2097,26-06-17 14:05,klein koolwitje,Pieris rapae,2,1
2097,26-06-17 14:05,groot koolwitje,Pieris brassicae,7,1
2097,26-06-17 14:05,kleine vos,Aglais urticae,7,1
2097,26-06-17 14:05,distelvlinder,Vanessa cardui,6,1
2097,04-07-17 14:05,dagpauwoog,Aglais io,6,1
2097,04-07-17 14:05,groot koolwitje,Pieris brassicae,3,2
2097,09-07-17 15:25,dagpauwoog,Aglais io,4,1
2097,09-07-17 15:25,dagpauwoog,Aglais io,8,1
2097,09-07-17 15:25,groot koolwitje,Pieris brassicae,1,1
2097,09-07-17 15:25,groot koolwitje,Pieris brassicae,2,1
2097,09-07-17 15:25,groot koolwitje,Pieris brassicae,8,1
2097,09-07-17 15:25,icarusblauwtje,Polyommatus icarus,8,1
2097,09-07-17 14:30,klein geaderd witje,Pieris napi,1,1
2097,09-07-17 14:30,boomblauwtje,Celastrina argiolus,1,1
2097,17-07-17 15:00,atalanta,Vanessa atalanta,5,1
2097,17-07-17 15:00,icarusblauwtje,Polyommatus icarus,4,1
2097,17-07-17 15:00,icarusblauwtje,Polyommatus icarus,6,2
2097,17-07-17 15:00,icarusblauwtje,Polyommatus icarus,7,1
2097,17-07-17 15:00,icarusblauwtje,Polyommatus icarus,8,2
2097,21-07-17 15:50,distelvlinder,Vanessa cardui,2,1
2097,21-07-17 15:50,groot koolwitje,Pieris brassicae,4,1
2097,21-07-17 15:50,icarusblauwtje,Polyommatus icarus,4,2
2097,21-07-17 15:50,icarusblauwtje,Polyommatus icarus,8,2
2097,21-07-17 10:10,klein koolwitje,Pieris rapae,8,1
2097,21-07-17 10:10,kleine vuurvlinder,Lycaena phlaeas,8,1
2097,28-07-17 13:40,atalanta,Vanessa atalanta,7,1
2097,28-07-17 13:40,icarusblauwtje,Polyommatus icarus,4,1
2097,28-07-17 13:40,icarusblauwtje,Polyommatus icarus,8,1
2097,28-07-17 13:40,klein koolwitje,Pieris rapae,1,1
2097,31-07-17 14:45,icarusblauwtje,Polyommatus icarus,4,2
2097,31-07-17 14:45,icarusblauwtje,Polyommatus icarus,8,2
2097,04-08-17 13:45,icarusblauwtje,Polyommatus icarus,5,1
2097,09-08-17 15:50,groot koolwitje,Pieris brassicae,2,1
2097,09-08-17 15:50,groot koolwitje,Pieris brassicae,6,1
2097,09-08-17 15:50,icarusblauwtje,Polyommatus icarus,4,1
2097,09-08-17 15:50,icarusblauwtje,Polyommatus icarus,7,2
2097,13-08-17 16:00,groot koolwitje,Pieris brassicae,4,1
2097,13-08-17 16:00,groot koolwitje,Pieris brassicae,6,1
2097,13-08-17 16:00,icarusblauwtje,Polyommatus icarus,6,1
