routenummer,bezoekdatum,soort,wetenschappelijke naam,sectie,aantal
2096,02-07-18 16:35,citroenvlinder,Gonepteryx rhamni,1,2
2096,02-07-18 16:35,dagpauwoog,Aglais io,1,6
2096,02-07-18 16:35,dagpauwoog,Aglais io,6,6
2096,02-07-18 16:35,distelvlinder,Vanessa cardui,1,2
2096,02-07-18 16:35,groot koolwitje,Pieris brassicae,6,3
2096,07-07-18 14:25,dagpauwoog,Aglais io,1,8
2096,07-07-18 14:25,dagpauwoog,Aglais io,6,8
2096,07-07-18 14:25,groot koolwitje,Pieris brassicae,6,6
2096,07-07-18 14:25,klein koolwitje,Pieris rapae,1,2
2096,12-07-18 13:18,atalanta,Vanessa atalanta,1,1
2096,12-07-18 13:18,klein koolwitje,Pieris rapae,1,1
2096,12-07-18 13:18,klein koolwitje,Pieris rapae,6,1
2096,16-07-18 14:45,klein koolwitje,Pieris rapae,1,1
2096,17-07-18 09:00,dagpauwoog,Aglais io,1,1
2096,17-07-18 09:00,klein koolwitje,Pieris rapae,6,1
2096,22-07-18 11:07,distelvlinder,Vanessa cardui,1,1
2096,22-07-18 11:07,kleine vos,Aglais urticae,1,1
2096,22-07-18 12:25,groot koolwitje,Pieris brassicae,2,1
2096,29-07-18 12:30,distelvlinder,Vanessa cardui,1,1
2096,29-07-18 12:30,groot koolwitje,Pieris brassicae,1,1
2096,30-07-18 15:09,distelvlinder,Vanessa cardui,1,3
2096,30-07-18 15:09,kleine vos,Aglais urticae,1,1
2096,15-08-18 14:30,klein koolwitje,Pieris rapae,1,2
2096,18-08-18 11:30,groot koolwitje,Pieris brassicae,1,4
2096,20-08-18 17:05,distelvlinder,Vanessa cardui,1,2
2096,20-08-18 17:05,klein koolwitje,Pieris rapae,6,2
2096,28-08-18 16:00,klein koolwitje,Pieris rapae,1,2
2096,28-08-18 16:00,klein koolwitje,Pieris rapae,6,1
2096,03-09-18 15:30,groot koolwitje,Pieris brassicae,1,1
2096,03-09-18 15:30,groot koolwitje,Pieris brassicae,6,1
2096,05-04-19 13:02,NVT,,0,0
2096,07-04-19 14:55,NVT,,0,0
2096,17-04-19 11:37,NVT,,0,0
2096,18-04-19 15:30,NVT,,0,0
2096,20-04-19 15:30,groot koolwitje,Pieris brassicae,6,1
2096,21-04-19 16:30,NVT,,0,0
2096,18-05-19 15:45,NVT,,0,0
2096,23-05-19 16:00,NVT,,0,0
2096,09-06-19 13:30,NVT,,0,0
2096,18-06-19 14:00,NVT,,0,0
2096,23-06-19 14:40,NVT,,0,0
2096,01-07-19 16:15,NVT,,0,0
2096,02-07-19 11:45,klein koolwitje,Pieris rapae,6,1
2096,11-07-19 15:50,NVT,,0,0
2096,19-07-19 15:00,atalanta,Vanessa atalanta,1,1
